userid,nodeid,group,label,date_start,date_end,formatted,latitude,longitude,placeid,street_address,route,intersection,political,country,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,administrative_area_level_4,administrative_area_level_5,colloquial_area,locality,ward,sublocality,neighborhood,premise,subpremise,postal_code,natural_feature,airport,park,point_of_interest,floor,establishment,parking,post_box,postal_town,room,street_number,bus_station,train_station,transit_station,last_updated,last_retrieved
2629e5a4-ffbb-4c04-8da2-46932180dc38,20a1342c-d281-40d8-99c1-81af80536d87,person,"BEIRUT, LEBANON",,,"Beirut, Lebanon",33.8937912,35.5017776,ChIJj6eAWCEXHxURtDaY6bqCkXI,,,,,Lebanon,Beirut,Beirut,,,,,Beirut,,,,,,,,,,,,,,,,,,,,,7/27/2016 7:54,10/24/2016
2745db0e-9490-4581-b6b3-094a346762b0,15b1e633-d917-43aa-9d09-ca8053d58d60,location,BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON,,,"East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,ChIJXZ7f7dYXHxURK_gCNYU2f3Q,,,,,Lebanon,Mount Lebanon,Matn,,,,,Beirut,,,,,,Nov-03,,,,,,,,,,,,,,,7/13/2016 15:07,10/24/2016
2745db0e-9490-4581-b6b3-094a346762b0,be39ff10-876d-4cdd-8c43-e0a2b77cab0e,person,"BEIRUT, LEBANON",,,"Beirut, Lebanon",33.8937912,35.5017776,ChIJj6eAWCEXHxURtDaY6bqCkXI,,,,,Lebanon,Beirut,Beirut,,,,,Beirut,,,,,,,,,,,,,,,,,,,,,7/13/2016 15:07,10/24/2016
2745db0e-9490-4581-b6b3-094a346762b0,af0b34c2-4a72-4ef3-b98d-55e7e8b2d71e,location,BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON,,,"East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,ChIJXZ7f7dYXHxURK_gCNYU2f3Q,,,,,Lebanon,Mount Lebanon,Matn,,,,,Beirut,,,,,,Nov-03,,,,,,,,,,,,,,,7/13/2016 15:07,10/24/2016
2799f22b-bae6-4fc8-ae98-1f6585019421,a4e680a4-db5f-45bf-b4dc-2755eaefbc5e,organization,IRINGA TANZANIA,10/1/2013,,"Iringa, Tanzania",-7.7680588,35.6860733,ChIJsS4bwSsWVBgRL1AhxHgzfSg,,,,,Tanzania,Iringa,Iringa,,,,,Iringa,,,,,,,,,,,,,,,,,,,,,8/17/2016 18:08,10/24/2016
2799f22b-bae6-4fc8-ae98-1f6585019421,efc46d08-85d8-4439-a3c0-c26c6ef91dde,organization,IRINGA TANZANIA,8/1/2013,,"Iringa, Tanzania",-7.7680588,35.6860733,ChIJsS4bwSsWVBgRL1AhxHgzfSg,,,,,Tanzania,Iringa,Iringa,,,,,Iringa,,,,,,,,,,,,,,,,,,,,,8/17/2016 18:08,10/24/2016
2799f22b-bae6-4fc8-ae98-1f6585019421,c3edd7fe-caba-4cca-8c95-0184cf6efe8e,person,"IRINGA, TANZANIA",,,"Iringa, Tanzania",-7.7680588,35.6860733,ChIJsS4bwSsWVBgRL1AhxHgzfSg,,,,,Tanzania,Iringa,Iringa,,,,,Iringa,,,,,,,,,,,,,,,,,,,,,8/17/2016 18:08,10/24/2016
291596df-81e4-4388-9854-9a887ecd4f9e,5dccd1ec-6874-4de7-906e-45f549926c57,organization,LEBANON,1/1/2012,,Lebanon,33.8547211,35.8622856,ChIJraoihAIXHxURcPkAbAk0fcw,,,,,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/24/2016 18:06,10/24/2016
291596df-81e4-4388-9854-9a887ecd4f9e,05d0185b-bec0-42bd-9189-94d56693583b,location,FORUM DE BEIRUT EXPO JISR BEIRUT LEBANON,,,"Jisr, Lebanon",33.8980865,35.5340004,ChIJp5Sx3kIWHxURhh7-2pXUQd8,,,,,Lebanon,Beirut,Beirut,Jisr,,,,,,,,,,,,,,,,,,,,,,,,,5/24/2016 18:06,10/24/2016
291596df-81e4-4388-9854-9a887ecd4f9e,aaddf07f-e59d-4dbf-bbdd-470b48b61eea,person,"BEIRUT, LEBANON",,,"Beirut, Lebanon",33.8886299,35.4954796,ChIJj6eAWCEXHxURtDaY6bqCkXI,,,,,Lebanon,Beirut,Beirut,Msaytbeh,,,,Beirut,,,,,,,,,,,,,,,,,,,,,5/24/2016 18:06,10/24/2016
